name,updated_name,dataset,image_size,image_size_rat,image_size_cat,param_count,size,architecture,technique,dataset-size,imagenet-zeroshot-val-top1,imagenetv2-zeroshot-val-top1,imagenets-zeroshot-val-top1,imagenetr-zeroshot-val-top1,imageneta-zeroshot-val-top1,imagenet-average-robustness,imagenet-effective-robustness,in100-zeroshot-val-top1,in100v2-zeroshot-val-top1,in100s-zeroshot-val-top1,in100r-zeroshot-val-top1,in100a-zeroshot-val-top1,in100-average-robustness,in100-effective-robustness,in100-dogs-zeroshot-val-top1,in100-dogs-v2-zeroshot-val-top1,in100-dogs-s-zeroshot-val-top1,in100-dogs-r-zeroshot-val-top1,in100-dogs-a-zeroshot-val-top1,in100-dogs-average-robustness,in100-dogs-effective-robustness
dm_nfnet_f4,dm_nfnet_f4,in1k,512,0.64,L,316.07,L,Convolution,Conventional,1200000,0.858,0.762,0.458,0.602,0.581,0.601,0.7,0.96,0.909,0.629746213,0.54012052,0.391005621,0.617,0.643,0.8364,0.689,0.526574803,0.762197464,0.613636364,0.648,0.775
dm_nfnet_f5,dm_nfnet_f5,in1k,544,0.68,L,377.21,L,Convolution,Conventional,1200000,0.858,0.763,0.459,0.603,0.586,0.603,0.703,0.9566,0.895,0.6267952,0.525689819,0.376014991,0.606,0.633,0.8334,0.692,0.512992126,0.758739915,0.602272727,0.642,0.77
dm_nfnet_f6,dm_nfnet_f6,in1k,576,0.72,L,438.36,L,Convolution,Conventional,1200000,0.859,0.763,0.474,0.612,0.592,0.61,0.71,0.9532,0.888,0.644501279,0.529812877,0.334790756,0.599,0.628,0.8312,0.681,0.511220472,0.758355743,0.545454545,0.624,0.751
dpn107,dpn107,in1k,224,0.28,S,86.92,M,Convolution,Conventional,1200000,0.793,0.678,0.282,0.403,0.111,0.369,0.465,0.9494,0.893,0.474326185,0.439422772,0.267332917,0.519,0.547,0.8216,0.658,0.422637795,0.656165962,0.5,0.559,0.68
dpn131,dpn131,in1k,224,0.28,S,79.25,M,Convolution,Conventional,1200000,0.791,0.676,0.279,0.4,0.107,0.366,0.463,0.9524,0.891,0.488687783,0.444814462,0.251717676,0.519,0.545,0.823,0.65,0.435826772,0.673453707,0.522727273,0.571,0.694
dpn68,dpn68,in1k,224,0.28,S,12.61,S,Convolution,Conventional,1200000,0.759,0.631,0.261,0.39,0.036,0.33,0.435,0.936,0.861,0.44934094,0.422771963,0.189256715,0.481,0.514,0.7892,0.61,0.382480315,0.65386093,0.409090909,0.514,0.651
dpn68,dpn68,in1k,224,0.28,S,12.61,S,Convolution,Conventional,1200000,0.749,0.628,0.221,0.344,0.039,0.308,0.411,0.936,0.861,0.44934094,0.422771963,0.189256715,0.481,0.514,0.7892,0.61,0.382480315,0.65386093,0.409090909,0.514,0.651
dpn68b,dpn68b,in1k,224,0.28,S,12.61,S,Convolution,Conventional,1200000,0.788,0.673,0.274,0.396,0.098,0.36,0.457,0.9476,0.894,0.478851072,0.443862988,0.255465334,0.518,0.547,0.8144,0.645,0.419488189,0.679216289,0.5,0.561,0.689
dpn68b,dpn68b,in1k,224,0.28,S,12.61,S,Convolution,Conventional,1200000,0.77,0.648,0.28,0.388,0.061,0.344,0.447,0.9476,0.894,0.478851072,0.443862988,0.255465334,0.518,0.547,0.8144,0.645,0.419488189,0.679216289,0.5,0.561,0.689
dpn92,dpn92,in1k,224,0.28,S,37.67,S,Convolution,Conventional,1200000,0.795,0.68,0.285,0.405,0.116,0.372,0.468,0.9532,0.89,0.494983278,0.43609261,0.269206746,0.523,0.549,0.8128,0.642,0.406299213,0.640799078,0.397727273,0.522,0.642
dpn98,dpn98,in1k,224,0.28,S,61.57,M,Convolution,Conventional,1200000,0.79,0.675,0.276,0.397,0.101,0.362,0.458,0.9506,0.897,0.493409404,0.43070092,0.257339163,0.52,0.547,0.8228,0.669,0.418110236,0.654245102,0.431818182,0.543,0.66
eca_botnext26ts_256,eca_botnext26ts_256,in1k,256,0.32,M,10.59,S,ViT,Conventional,1200000,0.799,0.687,0.291,0.413,0.134,0.381,0.477,0.9532,0.894,0.428487114,0.391373295,0.326670831,0.51,0.535,0.8116,0.639,0.358464567,0.588551671,0.625,0.553,0.681
eca_halonext26ts,eca_halonext26ts,in1k,256,0.32,M,10.76,S,ViT,Conventional,1200000,0.798,0.684,0.289,0.408,0.129,0.378,0.474,0.9526,0.89,0.433798938,0.405011101,0.316052467,0.511,0.536,0.8184,0.641,0.364173228,0.592393392,0.602272727,0.55,0.672
eca_nfnet_l0,eca_nfnet_l0,in1k,288,0.36,M,24.14,S,Convolution,Conventional,1200000,0.821,0.711,0.327,0.452,0.248,0.435,0.53,0.963,0.914,0.521345662,0.471772915,0.398500937,0.576,0.598,0.8386,0.682,0.441732283,0.691125624,0.579545455,0.599,0.714
